"id","camp","household","perGiven","numRecipients","age","sex","rel","adult","mother","father"
"P1050","P11","P11_1",3,2,10.74,1,0.1379,59,NA,NA
"P1003","P11","P11_1",4,4,12.89,0,0.1379,59,NA,NA
"P1204","P11","P11_2",2,1,7.23,0,0.1599,59,80,50
"P1028","P11","P11_2",3,3,6.33,1,0.1599,59,80,50
"P1135","P11","P11_3",4,4,9.48,0,0.103,59,40,70
"P1146","P11","P11_4",2,2,6.96,0,0.0625,59,NA,NA
"P1056","P1","P1_1",2,2,7.21,0,0.0754,59.18,57.143,57.143
"P1173","P1","P1_2",2,2,10.06,0,0.2467,59.18,42.857,71.429
"P1031","P1","P1_2",3,3,8.82,1,0.2467,59.18,42.857,71.429
"P1144","P3","P3_1",3,2,9.87,1,0.131,52.78,62.5,37.5
"P1159","P3","P3_1",1,1,7.4,1,0.131,52.78,62.5,37.5
"P1157","P3","P3_1",3,3,12.28,0,0.131,52.78,62.5,37.5
"P1042","P3","P3_2",2,2,5.2,1,0.131,52.78,50,50
"P1191","P3","P3_2",3,3,10.05,1,0.131,52.78,50,50
"P1216","P3","P3_3",0,0,4.77,1,0.0952,52.78,NA,NA
"P1206","P3","P3_4",2,2,10.75,1,0.0179,52.78,NA,NA
"P1065","P3","P3_5",2,2,8.25,0,0.0119,52.78,NA,NA
"P1034","P3","P3_2",2,2,10.9,1,0.0952,52.78,NA,NA
"P1010","P3","P3_2",2,1,7.57,0,0.0952,52.78,NA,NA
"P1158","P3","P3_6",3,2,13.31,0,0.0536,52.78,50,50
"P1208","P3","P3_6",3,3,6.83,0,0.0536,52.78,50,50
"P1155","P3","P3_2",3,3,11.01,1,0.131,52.78,50,50
"P1039","P3","P3_2",2,1,13.01,1,0.131,52.78,50,50
"P1192","P7","P7_1",3,3,7.46,0,0.0331,28.16,30,20
"P1064","P7","P7_2",1,1,10.63,0,0.0729,28.16,0,10
"P1172","P7","P7_3",1,1,15.14,1,0.051,28.16,NA,NA
"P1182","P7","P7_4",0,0,11.77,1,0.0288,28.16,NA,NA
"P1139","P7","P7_5",4,4,11.32,0,0.0947,28.16,NA,0
"P1063","P7","P7_2",2,1,8.74,1,0.0729,28.16,0,10
"P1193","P7","P7_2",3,3,13.48,0,0.0729,28.16,0,10
"P1169","P7","P7_6",3,3,8.97,0,0.1095,28.16,0,0
"P1132","P7","P7_7",3,3,9.17,0,0.078,28.16,30,50
"P1126","P7","P7_7",5,4,7.34,1,0.078,28.16,30,50
"P1059","P7","P7_6",0,0,10.55,0,0.1095,28.16,0,0
"P1150","P7","P7_8",2,2,8.86,0,0.0567,28.16,20,30
"P1114","P7","P7_5",0,0,8.45,0,0.0947,28.16,NA,0
"P1143","P7","P7_9",0,0,5.78,0,0.0288,28.16,NA,NA
"P1005","P7","P7_7",0,0,5.43,0,0.078,28.16,30,50
"P1167","P7","P7_10",0,0,8.42,0,0.1164,28.16,0,70
"P1190","P7","P7_2",2,1,6.7,1,0.0729,28.16,0,10
"P1099","P7","P7_6",1,1,6.96,0,0.1095,28.16,0,0
"P1061","P7","P7_11",3,3,12.24,0,0.0288,28.16,30,NA
"P1016","P7","P7_10",0,0,10,1,0.1164,28.16,0,70
"P1045","P7","P7_7",0,0,12.16,1,0.078,28.16,30,50
"P1106","P7","P7_12",2,2,9.94,1,0.1006,28.16,0,40
"P1037","P5","P5_1",2,2,9.31,0,0.1146,38.46,0,40
"P1100","P5","P5_1",2,2,6.97,0,0.1146,38.46,0,40
"P1211","P5","P5_2",4,3,4.5,0,0.1207,38.46,100,100
"P1115","P5","P5_1",5,5,5.62,0,0.1146,38.46,0,40
"P1066","P5","P5_3",0,0,7.27,0,0.0833,38.46,50,0
"P1111","P5","P5_4",2,1,4.49,1,0.0629,38.46,70,30
"P1029","P5","P5_4",4,2,6.33,1,0.0629,38.46,70,30
"P1008","P5","P5_5",4,4,7.53,1,0.0552,38.46,NA,40
"P1093","P5","P5_6",3,3,10.94,1,0.1207,38.46,0,0
"P1001","P5","P5_6",0,0,5.75,1,0.1207,38.46,0,0
"P1219","P5","P5_4",3,3,8.86,1,0.0629,38.46,70,30
"P1205","P5","P5_1",2,2,10.13,1,0.1146,38.46,0,40
"P1164","P5","P5_2",2,2,9.15,0,0.1207,38.46,100,100
"P1041","P5","P5_7",4,4,10.62,1,0.053,38.46,40,10
"P1121","P5","P5_7",3,3,12.57,1,0.053,38.46,40,10
"P1187","P5","P5_8",2,2,8.77,0,0.06944,38.46,50,0
"P1102","P10","P10_1",1,1,13.1,0,0.0408,30.43,0,0
"P1215","P10","P10_2",0,0,10.65,0,0.1222,30.43,0,0
"P1074","P10","P10_2",0,0,4.23,0,0.1222,30.43,0,0
"P1170","P10","P10_3",0,0,4.61,0,0.0508,30.43,0,90
"P1141","P10","P10_2",0,0,7.24,0,0.1222,30.43,0,0
"P1098","P10","P10_4",0,0,6.41,1,0.084,30.43,NA,0
"P1181","P10","P10_5",0,0,12.79,0,0.077,30.43,NA,0
"P1025","P10","P10_6",2,2,5.79,1,0.0642,30.43,50,NA
"P1075","P10","P10_2",0,0,13.25,1,0.1222,30.43,0,0
"P1090","P10","P10_7",0,0,10.98,0,0.0859,30.43,0,50
"P1142","P10","P10_6",0,0,7.33,1,0.0642,30.43,50,NA
"P1014","P10","P10_6",0,0,10.72,1,0.0642,30.43,50,NA
"P1023","P10","P10_2",3,3,13.9,1,0.1222,30.43,0,0
"P1107","P10","P10_2",3,2,6,1,0.1222,30.43,0,0
"P1128","P10","P10_2",3,1,4.86,1,0.1222,30.43,0,0
"P1197","P10","P10_7",2,2,11.23,1,0.0859,30.43,0,50
"P1051","P10","P10_5",2,2,9.74,1,0.077,30.43,NA,0
"P1007","P8","P8_1",3,2,5.03,1,0.2227,6.67,0,0
"P1148","P8","P8_2",1,1,4.86,0,0.1285,6.67,0,0
"P1032","P8","P8_1",1,1,7.89,0,0.2227,6.67,0,0
"P1101","P8","P8_3",1,1,4.3,1,0.0883,6.67,80,50
"P1009","P8","P8_4",1,1,4.67,0,0.05,6.67,0,0
"P1012","P8","P8_1",3,1,7.89,0,0.2227,6.67,0,0
"P1194","P9","P9_1",0,0,6.73,1,0.0694,0,0,0
"P1214","P9","P9_2",0,0,6.14,0,0.1528,0,0,0
"P1223","P9","P9_3",0,0,9.4,0,0.125,0,0,0
"P1156","P9","P9_4",0,0,6.85,0,0.0833,0,0,0
"P1163","P9","P9_5",0,0,6,1,0.0694,0,NA,NA
"P1210","P9","P9_4",0,0,9.21,1,0.0833,0,0,0
"P1116","P9","P9_3",0,0,7.45,1,0.125,0,0,0
"P1024","P9","P9_2",0,0,10.4,1,0.1528,0,0,0
"P1017","P9","P9_2",0,0,12,0,0.1528,0,0,0
"P1036","P6","P6_1",3,2,5.76,1,0,21.67,0,20
"P1033","P6","P6_1",1,1,4.1,0,0.0801,21.67,0,20
"P1067","P6","P6_2",3,3,5.06,0,0.0942,21.67,50,NA
"P1044","P6","P6_3",0,0,3.5,1,0.0901,21.67,40,0
"P1084","P6","P6_4",3,2,7.17,1,0.1195,21.67,0,30
"P1094","P6","P6_5",0,0,9.38,0,0.1426,21.67,0,0
"P1022","P6","P6_7",0,0,8.45,0,0.1543,21.67,0,20
"P1052","P6","P6_8",3,3,8.36,0,0.1289,21.67,0,40
"P1040","P6","P6_7",0,0,9.03,1,0.1543,21.67,0,20
"P1104","P6","P6_4",0,0,5.68,1,0.1195,21.67,0,30
"P1087","P6","P6_5",0,0,8.3,0,0.1426,21.67,0,0
"P1113","P6","P6_8",2,2,8.56,0,0.1289,21.67,0,40
"P1162","P6","P6_5",1,1,6.18,1,0.1426,21.67,0,0
"P1081","P6","P6_2",0,0,9.3,1,0.0942,21.67,50,NA
"P1137","P6","P6_8",0,0,13.58,0,0.1289,21.67,0,40
"P1038","P6","P6_7",0,0,11.58,0,0.1543,21.67,0,20
"P1203","P6","P6_5",0,0,4.14,0,0.1426,21.67,0,0
"M1026","M3","M3_1",3,3,12,0,0.2275,60.73,71.429,57.143
"M1022","M3","M3_1",3,3,10,0,0.2275,60.73,71.429,57.143
"M1031","M1","M1_1",3,3,9.16,1,0.1207,69.33,50,60
"M1006","M1","M1_2",2,2,6.08,1,0.0398,69.33,60,NA
"M1021","M2","M2_1",1,1,4,0,0.1581,49.29,70,50
"M1030","M2","M2_2",3,2,10,0,0.1581,49.29,50,0
"M1007","M2","M2_2",3,3,6,0,0.1581,49.29,50,0
"M1019","M2","M2_2",5,5,4,0,0.1581,49.29,50,0
"M1023","M2","M2_1",3,3,6,0,0.1581,49.29,70,50
"M1001","M2","M2_3",1,1,7,0,0.1544,49.29,40,50
"M1027","M2","M2_4",4,4,7,1,0.0331,49.29,NA,NA
"M1008","M3","M3_2",4,4,13,1,0.2138,60.73,NA,NA
"M1011","M1","M1_1",0,0,6.2,0,0.1207,69.33,50,60
"M1020","M1","M1_3",0,0,8,1,0.1151,69.33,80,90
"M1029","M1","M1_4",2,2,7.42,0,0.152,69.33,70,40
"M1015","M1","M1_5",4,4,6.14,1,0.0455,69.33,60,NA
"P1152","P4","P4_1",3,3,14.26,1,0.0833,56.87,70,NA
"P1136","P4","P4_1",3,3,11.51,1,0.0833,56.87,70,NA
"P1002","P4","P4_2",3,3,9.44,1,0.0547,56.87,40,NA
"P1119","P4","P4_3",2,2,8.12,1,0.128,56.87,NA,NA
"P1110","P4","P4_4",3,3,10.41,0,0.0139,56.87,70,70
"P1035","P4","P4_5",0,0,11.5,0,0.1072,56.87,0,100
"P1174","P4","P4_6",1,1,10,0,0.0512,56.87,NA,NA
"P1109","P2","P2_1",0,0,5,0,0.0136,31.36,10,30
"P1046","P2","P2_2",2,1,8,1,0.0675,31.36,10,40
"P1097","P2","P2_3",0,0,14,1,0.0577,31.36,50,70
"P1019","P2","P2_4",0,0,11,1,0.0578,31.36,20,40
"P1177","P2","P2_5",0,0,9,1,0.0768,31.36,30,30
"P1096","P2","P2_6",0,0,4.5,1,0.0823,31.36,90,70
"P1218","P2","P2_2",3,2,5,0,0.0675,31.36,10,40
"P1095","P2","P2_5",1,1,5,0,0.0768,31.36,30,30
"P1085","P2","P2_7",2,1,8.63,0,0.0197,31.36,10,NA
"P1226","P2","P2_8",4,1,7,0,0.0933,31.36,10,40
"P1123","P2","P2_2",3,3,10,1,0.0675,31.36,10,40
"P1225","P2","P2_5",3,3,12,1,0.0768,31.36,30,30
"P1180","P2","P2_9",0,0,12,0,0.0729,31.36,10,40
"P1202","P2","P2_9",2,1,6,1,0.0729,31.36,10,40
"P1089","P2","P2_9",2,1,5,1,0.0729,31.36,10,40
"P1217","P2","P2_3",2,2,12,0,0.0577,31.36,50,70
"P1207","P2","P2_8",3,2,13,1,0.0933,31.36,10,40
"P1222","P2","P2_10",5,1,5.42,1,0.0408,31.36,40,0
"P1062","P2","P2_11",0,0,4.5,1,0.0469,31.36,40,60
"P1117","P2","P2_12",1,1,16,0,0.0178,31.36,30,NA
"P1013","P2","P2_12",2,2,14,0,0.0178,31.36,30,NA
"P1069","P2","P2_13",0,0,4,0,0.0466,31.36,NA,90
"P1185","P2","P2_14",2,2,7,1,0.0387,31.36,10,0
"P1103","P2","P2_5",3,3,14,0,0.0768,31.36,30,30
"P1183","P2","P2_15",3,3,15,0,0.0258,31.36,60,NA
"P1118","P2","P2_16",3,3,8.97,0,0.0556,31.36,10,0
"P1026","P2","P2_14",2,2,8,0,0.0387,31.36,10,0
"P1047","P2","P2_4",2,2,7.71,0,0.0578,31.36,20,40
"P1195","P2","P2_10",1,1,7.49,1,0.0408,31.36,40,0
"P1220","P2","P2_17",1,1,5.8,1,0.052,31.36,40,40
"P1171","P2","P2_18",2,2,12.26,1,0.054,31.36,30,10
"P1073","P2","P2_10",1,1,10.86,0,0.0408,31.36,40,0
"P1070","P2","P2_19",0,0,3,0,0.0829,31.36,40,50
"P1154","P2","P2_14",3,3,10,1,0.0387,31.36,10,0
"P1153","P2","P2_19",3,3,10,1,0.0829,31.36,40,50
"P1133","P2","P2_19",2,2,12,1,0.0829,31.36,40,50
"P1091","P2","P2_4",5,5,13.75,1,0.0578,31.36,20,40
"P1134","P2","P2_9",0,0,10,1,0.0729,31.36,10,40
"P1140","P2","P2_7",3,3,12.26,1,0.0197,31.36,10,NA
"P1125","P2","P2_14",3,3,14,1,0.0387,31.36,10,0
"P1189","P2","P2_14",3,3,12,0,0.0387,31.36,10,0
"P1151","P2","P2_2",4,4,18,0,0.0675,31.36,10,40
"P1048","P2","P2_15",2,2,17,0,0.0258,31.36,60,NA
"P1120","P2","P2_1",2,2,16.39,0,0.0122,31.36,10,30
"P1168","P2","P2_20",2,2,16.41,0,0.0113,31.36,NA,NA
"P1186","P2","P2_14",4,2,4,1,0.0387,31.36,10,0
